"","AccidentUID","AccidentType","AccidentType_de","AccidentType_fr","AccidentType_it","AccidentType_en","AccidentSeverityCategory","AccidentSeverityCategory_de","AccidentSeverityCategory_fr","AccidentSeverityCategory_it","AccidentSeverityCategory_en","AccidentInvolvingPedestrian","AccidentInvolvingBicycle","AccidentInvolvingMotorcycle","RoadType","RoadType_de","RoadType_fr","RoadType_it","RoadType_en","AccidentLocation_CHLV95_E","AccidentLocation_CHLV95_N","CantonCode","MunicipalityCode","AccidentYear","AccidentMonth","AccidentMonth_de","AccidentMonth_fr","AccidentMonth_it","AccidentMonth_en","AccidentWeekDay","AccidentWeekDay_de","AccidentWeekDay_fr","AccidentWeekDay_it","AccidentWeekDay_en","AccidentHour","AccidentHour_text","Datum"
"1","00098A695D7B01B0E0630AB38B02C0F4","at5","Überqueren der Fahrbahn","accident en traversant une route","Incidente nell'attraversare la carreggiata","Accident when crossing the lane(s)","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","false","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2683261,1252404,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw405","Freitag","vendredi","Venerdì","Friday",17,"17h-18h","02.06.23"
"2","00098A69A3EE01B0E0630AB38B02C0F4","at1","Überholunfall oder Fahrstreifenwechsel","accident lors d'un dépassement ou lors d'un changement de voie de circulation","Incidente di sorpasso o al cambiamento di corsia","Accident when overtaking or changing lanes","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","true","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2683812,1247240,"ZH",261,2023,7,"Juli","juillet","Luglio","July","aw401","Montag","lundi","Lunedí","Monday",18,"18h-19h","10.07.23"
"3","00098A69A4D101B0E0630AB38B02C0F4","at8","Fussgängerunfall","accident impliquant des piétons","Incidente con pedoni","Accident involving pedestrian(s)","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","true","true","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683053,1247470,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw402","Dienstag","mardi","Martedì","Tuesday",6,"06h-07h","27.06.23"
"4","00098A69D14001B0E0630AB38B02C0F4","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683433,1250736,"ZH",261,2023,7,"Juli","juillet","Luglio","July","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",8,"08h-09h","12.07.23"
"5","000A1673CBB50226E0630AB38B0280E9","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683183,1248684,"ZH",261,2023,7,"Juli","juillet","Luglio","July","aw401","Montag","lundi","Lunedí","Monday",18,"18h-19h","03.07.23"
"6","000A1673CC080226E0630AB38B0280E9","at6","Frontalkollision","collision frontale","Collisione frontale","Accident with head-on collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt439","andere","autre","Altro","Other",2680578,1249453,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw405","Freitag","vendredi","Venerdì","Friday",16,"16h-17h","30.06.23"
"7","000A1673CEA80226E0630AB38B0280E9","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","true","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683401,1247623,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw406","Samstag","samedi","Sabato","Saturday",17,"17h-18h","17.06.23"
"8","000A1673CEF00226E0630AB38B0280E9","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","true","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683950,1251260,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw402","Dienstag","mardi","Martedì","Tuesday",19,"19h-20h","27.06.23"
"9","000A4B8A61BA02AAE0630AB38B024CF6","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as3","Unfall mit Leichtverletzten","accident avec blessés légers","Incidente con feriti leggeri","Accident with light injuries","false","true","false","rt439","andere","autre","Altro","Other",2683156,1248566,"ZH",261,2023,7,"Juli","juillet","Luglio","July","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",8,"08h-09h","12.07.23"
"10","000A4B8AB84302AAE0630AB38B024CF6","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684247,1248316,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw404","Donnerstag","jeudi","Giovedì","Thursday",10,"10h-11h","01.06.23"
"11","000A4B8AB90702AAE0630AB38B024CF6","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2684747,1246970,"ZH",261,2023,4,"April","avril","Aprile","April","aw403","Mittwoch","mercredi","Mercoledì","Wednesday",10,"10h-11h","26.04.23"
"12","000A4B8ABCEF02AAE0630AB38B024CF6","at2","Auffahrunfall","accident par tamponnement","Incidente di tamponamento","Accident with rear-end collision","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt432","Hauptstrasse","route principale","Strada principale","Principal road",2679750,1249227,"ZH",261,2023,7,"Juli","juillet","Luglio","July","aw406","Samstag","samedi","Sabato","Saturday",13,"13h-14h","01.07.23"
"13","000ABEEEDB4602C2E0630AB38B02EC93","at7","Parkierunfall","accident en parquant","Incidente nel parcheggiare","Accident when parking","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt439","andere","autre","Altro","Other",2686646,1245952,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw401","Montag","lundi","Lunedí","Monday",16,"16h-17h","05.06.23"
"14","000ABEEEDED602C2E0630AB38B02EC93","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","true","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2683609,1247719,"ZH",261,2023,7,"Juli","juillet","Luglio","July","aw405","Freitag","vendredi","Venerdì","Friday",11,"11h-12h","07.07.23"
"15","001021DDF54601CEE0630AB38B02EEA2","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2686799,1248735,"ZH",261,2023,6,"Juni","juin","Giugno","June","aw402","Dienstag","mardi","Martedì","Tuesday",22,"22h-23h","13.06.23"
"16","001021DE077B01CEE0630AB38B02EEA2","at0","Schleuder- oder Selbstunfall","dérapage ou perte de maîtrise","Incidente di sbandamento o per colpa propria","Accident with skidding or self-accident","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","false","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2678004,1249086,"ZH",261,2023,5,"Mai","mai","Maggio","May","aw404","Donnerstag","jeudi","Giovedì","Thursday",8,"08h-09h","25.05.23"
"17","001021DE120E01CEE0630AB38B02EEA2","at3","Abbiegeunfall","accident en quittant une route","Incidente nello svoltare","Accident when turning left or right","as4","Unfall mit Sachschaden","accident avec dommages matériels","Incidente con danni materiali","Accident with property damage","false","true","false","rt433","Nebenstrasse","route secondaire","Strada secondaria","Minor road",2682789,1247870,"ZH",261,2023,7,"Juli","juillet","Luglio","July","aw402","Dienstag","mardi","Martedì","Tuesday",21,"21h-22h","11.07.23"
